NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
J.Wl-02.08;Jaskinia Katarowa;Wyżyna Śląsko-Krakowska;Kłobuck (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);25;7,5;7,5;0;0;500741,5572;340440,075;1794
J.Wl-02.04;Jaskinia Północna na Rębielskiej Górze;Wyżyna Śląsko-Krakowska;Popów (gm. wiejska);Skarb Państwa;4;2;2;0;0;489046,3557;346874,7513;1789
J.Śl-04.07;Schronisko w Kamieniołomie w Pogorzycach;Wyżyna Śląsko-Krakowska;Chrzanów (gm. miejsko-wiejska);Komunalny;2;0;0;0;0;530104,2389;248847,8143;1931
T.A-05.02;Siwiańska Nyża;Tatry;Kościelisko (gm. wiejska);Komunalny;4,8;0;2,2;2,2;0;560066,22;156889,94;4047
J.Cz.I-04.02;Schronisko obok Jaskini Siedleckiej;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Prywatny;2,5;0;0;0;0;525687,7407;314722,1924;2352
J.Olk.I-10.01;Schronisko na Progu;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Prywatny;4;0;0;0;0;547511,66;253732,67;10866
J.Śl-02.02;Jaskinia na Blachówce;Wyżyna Śląsko-Krakowska;Bytom (gm. miejska);Komunalny;12;2;6;4;0;489501,8338;282120,2069;1861
J.Śl-01.11;Jaskinia Strzelecka;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Prywatny;11;4,5;4,5;0;0;450874,7719;296172,5017;1832
J.Śl-02.13;Schronisko w Sławkowie III;Wyżyna Śląsko-Krakowska;Bukowno (gm. miejska);Komunalny;4;2;2;0;0;528916,7483;269992,1208;1886
J.Olk.I-06.29;Schron pod Kominem;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;553652,3596;255239,1638;1892
J.Śl-01.25;Schronisko w Napłatkach II;Wyżyna Śląsko-Krakowska;Wielowieś (gm. wiejska);Prywatny;2,5;0;0;0;0;468371,0547;295945,5238;1855
J.Olk.I-06.46;Okap w Środku Doliny;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;554666,1267;255033,3167;1923
J.Wl-04Ex;Jaskinia w Zalesiakach 2;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;10;0;0;0;0;492997,72;357398,2836;1801
T.E-12.35;Dziura pod Świstową Studnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12,5;2,7;3,7;1;0;567247,64;153044,52;1570
J.Śl-01.17;Jaskinia w Szczepanku V;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);14;0;0;0;0;453512,3542;296179,4032;1839
J.Olk.I-06.33;Korytarzyk za Wronią;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);5,5;0;0;0;0;554702,9437;255311,6052;1896
J.Olk.I-06.34;Rura za Wronią;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);9;0;0,7;0,7;0;554702,9437;255311,6052;1897
J.Olk.I-06.53;Okrętowe Okno I;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;4,1;0;2;2;0;554490,1367;254784,4825;1937
J.Olk.I-06.13;Jaskinia w górze Doliny Kobylańskiej;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);22,2;0,7;5,8;5,1;0;554697,237;255867,3682;1854
T.E-12.62;Maćkowa Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;6;6;0;0;566842,49;153329,81;1610
T.E-11.65;Dziurka w Trawce;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;179;27,9;27,9;0;0;566188,6;153174,95;1546
T.F-09.04;Jaskinia Zakosista;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;131;25,6;25,6;0;0;563614,13;152235,8;1655
J.Olk.I-06.03;Okap pod Ukrytą;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;2,4;0,7;0,7;0;0;554359,1477;255956,5441;1820
J.Śl-02.01;Tunel Blachowicki;Wyżyna Śląsko-Krakowska;Bytom (gm. miejska);Komunalny;6;3;3;0;0;489501,8951;282151,0844;1860
J.Śl-04.02;Schronisko w Glinnej I;Wyżyna Śląsko-Krakowska;Jaworzno (gm. miejska);Komunalny;5;3;3;0;0;518359,6038;257100,2595;1922
T.F-09.10;Dziura pod Wantą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;4;4;0;0;563822,48;152295,29;1661
T.E-13.28;Dziura przy Piargu;Tatry;Zakopane (gm. miejska);Skarb Państwa;4,7;0;0;0;0;568181,61;152767,02;1630
T.H-19.02;Świnicka Koleba Niżnia;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;4,8;0;3;3;0;573895,5;150641,37;1700
J.Śl-01.28;Schronisko Krótkie;Wyżyna Śląsko-Krakowska;Wielowieś (gm. wiejska);Prywatny;2;0;0;0;0;468371,0547;295945,5238;1859
J.Olk.I-06.09;Okap w Przerwanym Kominie;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;554560,9429;255618,9386;1846
J.Wl-16Ex;"Jaskinia ""A""";Wyżyna Śląsko-Krakowska;Popów (gm. wiejska);Skarb Państwa;25;5;5;0;0;488304,3921;346289,6416;1813
J.Wl-19Ex;Jaskinia w Kurzelowie;Wyżyna Śląsko-Krakowska;Opatów (gm. wiejska);;0;0;0;0;0;490633,4661;340726,4064;1816
J.Olk.I-06.54;Okrętowe Okno II;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;4,1;0;2;2;0;554490,1367;254784,4825;1938
K.Bż-05.35;Schronisko nad Grotką;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;1;546290,89;196192,46;10160
J.Śl-02.14;Schronisko w Laskach;Wyżyna Śląsko-Krakowska;Bolesław (gm. wiejska);Komunalny;14;0;0;0;0;532874,093;272948,5875;1887
J.Wl-02.02;Jaskinia w Kamieniołomie w Rębielskiej Górze;Wyżyna Śląsko-Krakowska;Popów (gm. wiejska);Skarb Państwa;6;0;0;0;0;489026,7997;346843,9121;1787
J.Olk.I-06.17;Szczelina z Korzeniem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,2;0;0;0;0;554775,93;255929,9349;1866
J.Śl-01.10;Schronisko Strzelce I;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Prywatny;2,5;0;0,5;0,5;0;451071,5859;296170,6667;1831
T.F-07.01;Kominki w Panienkach Smytniańskich;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,5;0;1,5;1,5;0;562200,71;152121,45;1646
J.Wl-02.12;Jaskinia w Balikowej Skale;Wyżyna Śląsko-Krakowska;Częstochowa (gm. miejska);Prywatny;15;0;0;0;0;514493,4927;328571,3976;1797
J.Śl-01.06;Schronisko Otmickie IV;Wyżyna Śląsko-Krakowska;Izbicko (gm. wiejska);Prywatny;4;0;2;2;0;438665,4255;299080,0954;1827
J.Śl-01.13;Schronisko w Szczepanku I;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);21;1,5;1,5;0;0;453472,7184;296148,8736;1834
J.Śl-02.12;Schronisko w Sławkowie II;Wyżyna Śląsko-Krakowska;Bukowno (gm. miejska);Komunalny;4;0;0;0;0;528916,5799;270022,9976;1885
J.Wl-01.22;Jaskinia Ewy;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;55;0;10,9;0;0;486500,4366;357133,2686;1778
J.Śl-02.08;Jaskinia w Triasowej Górze;Wyżyna Śląsko-Krakowska;Dąbrowa Górnicza (gm. miejska);Komunalny;22;2;2;0;0;521193,9791;272209,6797;1873
J.Śl-02.05;Schronisko Triasowe II;Wyżyna Śląsko-Krakowska;Psary (gm. wiejska);Komunalny;2;0;0;0;0;504677,2255;281648,6825;1867
J.Olk.I-07.03Ex;Schronisko pod Jaskinią Głęboką;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;5;0;0;0;0;554923,8293;258895,8507;2065
J.Olk.I-06.51;Okap za Kruchą Turnią;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3,5;0;0;0;0;554667,3938;254909,8139;1935
J.Olk.I-06.10;Schronisko nad Źródłem I;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);11,2;0;4,6;4,6;0;554541,11;255618,7355;1847
J.Olk.I-06.45;Rura w Środku Doliny;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;554665,8099;255064,1924;1921
J.Wl-03Ex;Jaskinia w Zalesiakach 1;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;15;0;0;0;0;492997,72;357398,2836;1800
J.Śl-03.07;Schronisko pod Ścieżką;Wyżyna Śląsko-Krakowska;Będzin (gm. miejska);Komunalny;3;0;0;0;0;505095,8284;277326,2333;1907
T.E-12.09;Dolny Lej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,5;5,5;5,5;0;0;567235,31;152944,95;1540
J.Olk.I-06.39;Koleba za Wronią;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;554644,0749;255249,2431;1910
J.Olk.I-06.40;Ponura Szczelina;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);8,3;0;3,3;3,3;0;554585,2046;255186,8817;1911
J.Olk.I-06.08;Komórka w Pochyłej Turni;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,7;3;3;0;0;554541,11;255618,7355;1845
J.Wl-17Ex;"Jaskinia ""B""";Wyżyna Śląsko-Krakowska;Popów (gm. wiejska);Skarb Państwa;10;0;0;0;0;488304,3921;346289,6416;1814
J.Wl-18Ex;Jaskinia Opatowska;Wyżyna Śląsko-Krakowska;Opatów (gm. wiejska);;15;0;0;0;0;487134,8321;346292,4171;1815
J.Olk.I-06.52;Szczelina w Kruchej Turni;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3;0;0;0;0;554627,7227;254909,407;1936
J.Śl-01.12;Schronisko Strzelce V;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Prywatny;4;0;0;0;0;450874,7719;296172,5017;1833
T.E-11.28;Schron przy Studni;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,5;0;1,2;1,2;0;565567,21;152960,2;1520
J.Wl-02.07;Jaskinia w Wilkowiecku Wschodnia;Wyżyna Śląsko-Krakowska;Opatów (gm. wiejska);Prywatny;5;0;0;0;0;488876,6455;340451,9545;1792
J.Wl-08Ex;Jaskinia w Zalesiakach 6;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;8;0;0;0;0;492997,72;357398,2836;1805
J.Śl-01.24;Schronisko w Napłatkach I;Wyżyna Śląsko-Krakowska;Wielowieś (gm. wiejska);Prywatny;3;0;0;0;0;468371,0547;295945,5238;1853
J.Śl-04.01;Meanderek;Wyżyna Śląsko-Krakowska;Jaworzno (gm. miejska);Komunalny;7;0;4;4;0;520143,2518;262541,0267;1920
T.F-09.26;Ptasi Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;0;0;0;563985,49;152065,69;1687
J.Śl-04.04;Schronisko w Glinnej III;Wyżyna Śląsko-Krakowska;Jaworzno (gm. miejska);Komunalny;3;0;0;0;0;518379,5371;257069,4517;1925
J.Wl-02.03;Jaskinia Krucha Sala;Wyżyna Śląsko-Krakowska;Popów (gm. wiejska);Skarb Państwa;7;2,2;2,2;0;0;489026,8652;346874,7926;1788
J.Wl-02.11;Jaskinia w Kamieniu;Wyżyna Śląsko-Krakowska;Częstochowa (gm. miejska);Prywatny;100;0;0;0;0;510424,6512;328808,6955;1796
J.Olk.I-06.14;Szczelina w górze Doliny Kobylańskiej;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;554697,237;255867,3682;1857
J.Olk.I-06.37;Schronisko w Dolinie Kobylańskiej;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;0;554663,5924;255280,3223;1906
T.E-12.53;Szuflada Górna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;3,6;9;5,4;0;566750,36;153391,34;1596
J.Olk.I-07.18;Schronisko w Bramie Będkowskiej;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa;3;0;0;0;0;553012,438;255757,6977;1968
J.Śl-01.23;Jaskinia Lisia;Wyżyna Śląsko-Krakowska;Wielowieś (gm. wiejska);Prywatny;20;3,5;3,5;0;0;468371,0547;295945,5238;1852
J.Olk.I-06.16;Pojedyncza Koliba;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,2;0;0;0;0;554795,7618;255930,1389;1864
J.Śl-03.06;Tunelik Kijowski;Wyżyna Śląsko-Krakowska;Będzin (gm. miejska);Komunalny;2;0;0;0;0;505056,2373;277418,8272;1905
J.Wl-01.24;Jaskinia Szachownica II;Wyżyna Śląsko-Krakowska;Lipie (gm. wiejska);Skarb Państwa;297;0;0;0;0;486337,2188;354261,7462;1780
T.E-25.02;Jaskinia Wołoszyńska Niżnia;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;46,4;4;15,7;11,7;0;579256,39;153562,19;1664
T.F-10.01;Jaskinia Lodowa w Ciemniaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;390;11;42;31;0;564923,28;152202,75;1701
K.Bs-03.124;Jaskinia za Upłazkiem;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);15;5;5;0;1;498239,92;197844,7;10175
T.G-22.01;Dziura nad Nową Roztoką;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;6;0;3;3;0;577164,38;151207,64;1697
J.Wl-01.12;Jaskinia Stalagmitowa;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Skarb Państwa;110;15,2;15,2;0;0;485241,2863;358958,7182;1768
T.J-24.03;Wielka Żabia Szpara;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;35,8;26;26;0;0;579383,12;149891,25;1719
T.E-12.30;Awen z Korkiem Śnieżnym;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;10,4;10,4;0;0;566768,35;153466,79;1565
T.L-22.02;Studnia przy Mnichowym Kominie;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;10,5;7;7;0;0;576872,85;147866,08;1729
T.F-09.07;Jaskinia Dwuotworowa Krakowska;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14,5;2,5;2,5;0;0;563729,09;152273,83;1658
T.E-12.15;Jaskinia Omszała;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;33;10;10;0;0;567021,99;152758,77;1550
T.E-11.17;Studnia w Progu Mułowym;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;65;29;29;0;0;565853,39;152722,86;1491
J.Olk.I-09.05;Schronisko Żarskie II;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);17,8;0;3,5;3,5;0;550226,57;255458,97;11064
T.F-09.12;Jaskinia Wysoka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11660;300;435;135;0;564419,68;152182,63;1665
T.F-10.03;Jaskinia Lodowa Krakowska;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;25;1,5;6;4,5;0;564728,26;151912,4;1706
T.Z-18.01;Jaskinia Jaszczurowska Wodna;Tatry;Zakopane (gm. miejska);Skarb Państwa;33;0;3;3;0;572775,04;157740,21;1749
T.F-09.02;Krakowska Piwnica;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;7,6;8,6;1;0;563879,31;152111,86;1653
T.J-21.01;Dziura w Miedzianym Kosturze I;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;4,5;0;2,7;2,7;0;576177,79;149012,3;1702
T.F-10.19;Dziura pod Zawaliskiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;21;10,9;10,9;0;0;565118,98;151896,31;1730
T.E-13.05;Jaskinia Pomarańczarnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;36;26;26;0;0;567580,24;153600,34;1580
T.E-12.39;Studnia przy Przechodzie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;45;15;15;0;0;567205,97;153113,17;1575
T.F-10.02;Szczelina nad Lodową;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;29;8;8;0;0;564713,39;151870,02;1705
T.F-09.27;Mokra Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;0;5;5;0;563888,82;152357,02;1688
T.E-12.04;Dziura Małołącka Mała;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;4;4;0;0;567119,39;152901,86;1536
T.L-22.05;Cubryńska Dziura I;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;27;0;11,6;11,6;0;576923,75;147642,5;1734
J.Wl-01.02;Jaskinia w Kamieniołomie Daneckich Zachodnia;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;29,5;0;2,5;2,5;0;488045,4413;360711,6887;1750
T.E-13.09;Bliźniacza Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;80;45;45;0;0;567325,64;152898,51;1592
T.E-12.10;Jaskinia z Dolomitami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;55;18,5;20,5;2;0;566961,45;153089,2;1542
T.E-11.33;Dziura pod Ratuszem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;565917,34;153139,39;1527
T.E-12.46;Szczelina nad Wielką Litworową;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;4;4;0;0;566637,8;152733,61;1585
T.F-07.02;Szczelina w Panienkach Smytniańskich;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,3;0;2,1;2,1;0;562080,98;152113,28;1647
K.Bs-03.116;Szczelina koło Wiślanki;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);5;3;3;0;1;498617,66;198113,19;10161
T.E-11.62;Szczelina za Płytą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,9;1,3;1,3;0;0;566223,57;153277,44;1541
T.E-12.14;Dziura w Grzędzie I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;20;9;9;0;0;566646,47;152783,82;1549
T.A-23.03;Zbójnicka Kapliczka;Tatry;Poronin (gm. wiejska);Skarb Państwa;4,8;0;0;0;0;577973,63;157704,54;11043
T.A-23.04;Schron przy Grocie w Jaworzyńskim Żlebie;Tatry;Poronin (gm. wiejska);Skarb Państwa;5,3;0;1,9;1,9;0;578081,86;157764,75;11044
T.A-23.01;Okienko w Jaworzyńskim Żlebie;Tatry;Poronin (gm. wiejska);Skarb Państwa;3,9;1,7;1,7;0;0;577964,85;157611,79;11045
T.E-11.41;Jaskinia Barania;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;57;19,6;19,6;0;0;566254,4;153015,19;1497
T.F-10.17;Szczelina w Tomanowym Grzbiecie VI;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;5;5;0;565205,76;151811,07;1726
T.G-19.02;Szczelina w Zadnim Kościelcu;Tatry;Zakopane (gm. miejska);Skarb Państwa;6,8;1,8;7,3;5,5;0;573813,68;151089,05;1694
T.F-10.14;Szczelina w Tomanowym Grzbiecie III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;3;3;0;0;565182,76;151773,48;1721
J.Cz.I-03.30;"Szczelina Frakcji ""N""";Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);62;14;14;0;0;520088,5263;318152,5931;2278
T.F-10.10;Kamienista Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;3;3;0;0;565090,54;152236,86;1713
T.E-11.24;Zawaliskowy Korytarz;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;2,5;2,5;0;0;565489,92;153048,12;1505
T.L-22.06;Cubryńska Dziura II;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;3,5;0;0;0;0;576928,89;147637,64;1703
J.Olk.I-07.09;Jaskinia nad Stawami;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;16;0;4,5;4,5;0;553140,05;254894,36;1959
J.Olk.I-06.70;Niska Koleba;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;554193,8524;254657,9453;1997
J.Wl-01.17;Jaskinia Marcina;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;12;0;0;0;0;488626,8177;359907,4565;1773
J.Wl-05Ex;Jaskinia w Zalesiakach 3;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;8;0;0;0;0;492997,72;357398,2836;1802
J.Śl-01.19;Schronisko w Szczepanku VII;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;453492,6729;296179,5773;1842
J.Olk.I-06.05;Szczelina z Różą;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;3,3;0;1;1;0;554379,2946;255925,8708;1838
J.Olk.I-06.58;Szczelina w Żłobistej Turni;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,5;0;0;0;0;554470,6163;254753,404;1979
J.Olk.I-06.60;Szczelina nad Jaskinią w Żłobistej;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3;0;0;0;0;554629,3054;254755,0286;1981
J.Olk.I-07.37;Śmietnik pod Jaskinią Głęboką;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;5;0;0;0;0;554923,8293;258895,8507;2021
J.Wl-14Ex;Jaskinia nad Kamieniołomem;Wyżyna Śląsko-Krakowska;Popów (gm. wiejska);Skarb Państwa;11;8;8;0;0;488304,3921;346289,6416;1811
J.Wl-11Ex;Jaskinia Buki;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;14;6;6;0;0;485990,41;355559,69;1808
J.Wl-06Ex;Jaskinia w Zalesiakach 4;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;5;0;0;0;0;492997,72;357398,2836;1803
J.Wl-07Ex;Jaskinia w Zalesiakach 5;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;1,5;0;0;0;0;492997,72;357398,2836;1804
J.Olk.I-06.19;Koleba w Szerokiej Turni;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,5;0;0;0;0;554620,1251;255650,4241;1871
J.Olk.I-06.21;Nyża w Szerokim Murze;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;554640,5913;255588,876;1874
J.Olk.I-07.02Ex;Jaskinia nad Źródłem IV;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;35;19;19;0;0;553888,9577;257341,3192;2064
J.Olk.I-06.64;Dziupla w Rozwalistej Turni;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,8;0;0;0;0;554371,1206;254783,2668;1985
J.Olk.I-07.39;Tunelik obok Szczeliny w Wielkiej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;5,5;2;2;0;0;554832,0416;258184,684;2023
J.Śl-02.11;Schronisko w Sławkowie I;Wyżyna Śląsko-Krakowska;Bukowno (gm. miejska);Komunalny;5;0;0;0;0;528916,4115;270053,8744;1884
J.Śl-01.16;Schronisko w Szczepanku IV;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);5;1;1;0;0;453571,6707;296209,7594;1837
J.BK-02.05;"Schronisko nad ""Sadystówką""";Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;4;0;0;0;0;565559,6412;241906,562;2072
J.Olk.I-07.15;Tunel nad Bramą Będkowską;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa;7;0;0;0;0;553132,972;255604,5045;1965
J.Olk.I-07.05;Schronisko nad Jaskinią na Łączkach;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;14;0;0;0;0;553008,5763;254151,9626;1955
J.Śl-01.07Ex;Studnia Tarnowie VII;Wyżyna Śląsko-Krakowska;Gogolin (gm. miejsko-wiejska);Prywatny;2;2;2;0;0;435658,8157;299363,114;1947
J.Olk.I-07.30;Jaskinia nad Żródłem II;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;21;18,5;18,5;0;0;553810,2758;257278,7654;1990
J.Wl-01.03;Jaskinia w Kamieniołomie Daneckich Wschodnia;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;20;0;0;0;0;488103,6849;360680,6724;1751
T.E-12.61;Szczelina nad Dziurą w Wantach II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,6;4,2;4,2;0;0;566771,66;153341,92;1609
J.Olk.I-07.10;Krucha Szczelina;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;19;7;10;3;0;552610,895;254240,6582;1960
J.Olk.I-06.63;Okap w Rozwalistej Turni;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;554351,5995;254752,1887;1984
J.Olk.I-07.51;Jaskinia powyżej Łabajowej;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;11;4;5;1;0;555404,3481;258437,6439;2034
J.Olk.I-06.79;Okap za Żabim Koniem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;554055,6233;254594,7836;2006
J.Olk.I-06.47;Szczelina w Środku Doliny;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;0;554646,2916;255033,1132;1926
J.Śl-01.02;Schronisko w Tarnowie VI;Wyżyna Śląsko-Krakowska;Gogolin (gm. miejsko-wiejska);Prywatny;2,5;0;0;0;0;435658,8157;299363,114;1823
