NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
K.Pc-01.21;Schronisko za Grunwaldem I;Karpaty;Ciężkowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;1;641358,77;214122,02;10519
K.Pc-02.10;Schronisko koło Kapliczki I;Karpaty;Szerzyny (gm. wiejska);Skarb Państwa (Lasy Państwowe);6,5;2,5;2,5;0;0;656265,87;219646,32;10533
K.Pc-02.11;Schronisko koło Kapliczki II;Karpaty;Szerzyny (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;656265,87;219646,32;10534
K.Bs-03.61;Płaski Schron;Karpaty;Szczyrk (gm. miejska);Skarb Państwa (Lasy Państwowe);3,5;0;0;0;1;502563,19;203667,79;10627
K.Pst-01.18;Bogdanowy Okap;Karpaty;Dębica (gm. miejska);Skarb Państwa;1,5;0;0;0;0;669576,91;243354,47;10450
J.Olk.I-04.34;Schronisko Niskie w Szerokiej;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;3;0;0;0;0;558540,45;254484,68;10967
J.Olk.I-04.35;Schronisko Dolne;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;10,6;0;5,1;5,1;0;558550,36;254484,79;10968
J.Olk.I-04.46;Schronisko Ukryte;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;558901,42;254853,04;10979
J.Olk.I-04.47;Schronisko w Zamkowej Strażnicy;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;7,1;0;3,5;3,5;0;559209,9;255122,02;10980
J.Olk.I-04.48;Schronisko w Mącznej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;12;2,8;3;0,2;0;558579,45;255448,55;10981
J.Olk.I-04.38;Szczelina w Rogatej Turniczce;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;6,5;0;5,3;5,3;0;558726,03;254567,01;10971
J.Olk.I-08.01;Okap pod Wantą;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,5;0;1,5;1,5;0;550115,06;254239,15;10990
J.Olk.I-08.02;Komora nad Półką w Pozornicy;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3,5;0;0;0;0;550121,92;254248,17;10991
J.Olk.I-08.04;Szczelina nad Półką w Pozornicy;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;550132,21;254250,73;10993
J.Olk.I-04.49;Szczelina za Płytą w Mącznej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;2;0;0;0;0;558581,26;255464;10982
J.Olk.I-04.50;Schronisko nad Mostkiem w Mącznej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;4;0;0;0;0;558557,32;255476,09;10983
J.Olk.I-04.55;Nyża pod Zelkowską;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;557606,56;255533,66;10986
J.Olk.I-04.25;Schronisko Osunięte na Podmłyniu;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;5,8;0;2,8;2,8;0;558399,09;254529,45;10958
J.Olk.I-08.24;Nisza przy Okapie nad Drogą;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,3;0;0;0;0;551373,74;258120,85;11013
J.Olk.I-04.27;Jaskinia na Kozłowcu;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;20;0;4;4;0;558458,06;254579,5;10960
J.Olk.I-08.26;Rura Borsuka;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;6,5;0;0;0;0;550443,75;257449,61;11015
K.Pwl-01.02;Schronisko w Czerwonej Górze II;Karpaty;Siepraw (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;1,5;1,5;0;572463,95;223346,36;10828
K.Pwl-01.01;Jaskinia w Czerwonej Górze I;Karpaty;Siepraw (gm. wiejska);Skarb Państwa (Lasy Państwowe);20;7,5;7,5;0;0;572463,95;223346,36;10829
K.Bn-05.16;Schronisko na Wątkowej VII;Karpaty;Dębowiec (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;1;669810,14;193052,67;10830
J.Olk.I-04.39;Szczelina w Turni Rzęcha;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;5,7;0;3;3;0;558757,74;254570,45;10972
J.Olk.I-08.21;Tunel Maszynownia;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;5,5;0;0;0;0;551257,69;258581,37;11010
K.Bn-05.17;Okap na Wątkowej;Karpaty;Dębowiec (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;1;669814,35;193046,62;10831
K.Bn-05.21;Schronisko w Kornutach XII;Karpaty;Sękowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;1;668529,95;193519,57;10835
K.Bn-09.71;Jaskinia Klubowa;Karpaty;Dukla (gm. miejsko-wiejska);Prywatny;9;2,5;3;0,5;1;694499,55;188588,88;10849
T.C-15.09;Kalacka Nyża I;Tatry;Zakopane (gm. miejska);Skarb Państwa;4;0;0;0;0;570168,76;154726,3;1060
G-5.1;Jaskinia Lubańska;Region Świętokrzyski;Chmielnik (gm. miejsko-wiejska);Komunalny;4;0;0;0;0;625640,83;308256,82;852
T.D-05.05;Nyża w Wąwozie Między Ściany;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,8;0;3,4;3,4;0;559621,55;154207,37;1105
T.E-12.65;Nyża w Baranich Schodkach I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,9;0;3,3;3,3;0;566959,36;153236,93;1612
J.Olk.I-09.06;Schronisko Żarskie Małe;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);12,9;0;0;0;0;550198,6;255480,32;11065
T.E-11.57;Nisza w Kobylarzowej Turni;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;0;3;3;0;566101,98;153339,2;1530
N-2.83;Jamy w Podwalu;Niecka Nidziańska;Staszów (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);8;0;2;2;0;668237,8334;306979,3184;782
T.E-08.39;Zbójnicki Korytarzyk;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;3;3,2;0;0;562887,69;152641,42;1407
K.Bż-05.57;Schronisko Wielkanocne w Łysinie;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;1;546288,89;196192,44;10202
K.Bs-04.32;Schron w Stołowie;Karpaty;Brenna (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;1;498295,23;207977,43;10203
T.D-18.08;Dziura z Gawrą;Tatry;Zakopane (gm. miejska);Skarb Państwa;7;0;0;0;0;572147,1;154083,48;1280
T.E-13.07;Mała Mnichowa Studzienka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;3,7;4,7;1;0;567585,5;153616,15;1586
T.E-08.20;Jaskinia Wodna pod Pisaną;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;450;0;0;0;0;562921,91;152906,61;1398
N-2.31;Jaskinia Dzwonów;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;91;0;5;5;0;618738,15;284958,2;730
T.E-10.04;Piwniczka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;6;7;1;0;565105,15;153422,79;1451
T.E-05.07;Szczelina w Iwanówce;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,5;0;0;0;0;559751,43;153038,28;1294
T.E-07.29;Nyża nad Prożkiem w Żlebie Na Spady;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2;0;0;0;0;562136,85;153024,4;1328
P-1.21;Schronisko w Zielonych Skałkach Górne;Pieniny;Łapsze Niżne (gm. wiejska);Skarb Państwa;6;0;2;2;0;593483,9934;174622,7237;427
G-11Ex;Jaskinia w Mogiłkach;Region Świętokrzyski;Miedziana Góra (gm. wiejska);Skarb Państwa;9;0;0;0;0;611052,0818;340857,2515;925
N-2.52;Jaskinia na Kontakcie;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;75;0;1,5;1,5;0;619473,2756;282997,773;748
T.E-08.44;Nyża za Załomem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5;0;0;0;0;562914;152667,11;1414
T.E-07.28;Schronisko nad Wiśniakową Jamą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;561962,3;153009,79;1327
N-2.13;Schronisko przy Lisiej;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;11,5;3;3;0;0;617108,2716;285477,8097;667
T.B-09.09;Nyża w Kończystej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;563930,48;155505,9;976
N-2.37;Schronisko w Skorocicach pod Drogą Wschodnie;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;13;0;2;2;0;618700,09;284895,56;736
K.Bs-02.63;Schronisko pod Głazem;Karpaty;Lipowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;3;3;0;0;504033,26;197432,83;10693
J.Olk.II-01.31;Schronisko dla Dwóch;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);3,5;1,4;1,4;0;0;547060,52;273605,27;10392
T.D-08.50;Komora w Okręcie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;7,8;7,8;0;563064,37;154162,5;1140
K.Bs-02.82;Jaskinia w Zielonym Kopcu I;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);15,5;0;0;0;0;499305,09;197103,5;10064
J.Olk.II-01.17;Jaskinia Zamkowa;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);24;10,4;10,4;0;0;543865,1;271319,98;10039
K.Bż-05.17;Schronisko w Paluchówce;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);4,5;1;1;0;1;544623,72;195539,38;10141
K.Bż-05.18;Jaskinia w Złotej Grapie;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);6;2,4;2,4;0;1;546150,46;195962,79;10142
J.Olk.II-01.03;Jaskinia przy Wielkim Okapie;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);67;17,3;25;7,7;0;544612,07;274507,67;10025
J.Olk.II-01.04;Schronisko z Kościami;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);6,5;2;2;0;0;544561,32;274479,14;10026
K.Bs-02.83;Jaskinia w Zielonym Kopcu II;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);8,5;0;0;0;0;499362,04;197184,07;10065
K.Bs-02.87;Jaskinia w Cieńkowie;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);9;0;0;0;0;498295,57;195677,68;10067
J.Olk.II-01.18;Januszkowa Szczelina;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);180;56,5;56,5;0;0;543838,12;271306,48;10040
K.Bż-05.19;Śnieżny Schron;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;1;547512,59;196150,53;10143
K.Bż-05.20;Kruche Schronisko w Okrąglicy;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;1;547275,66;195814,39;10144
J.Olk.II-01.05;Szczelina nad Kanionem;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);12;2;2;0;0;544374,86;273639,83;10027
J.Olk.II-01.06;Omszała Studnia;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);43;10;14,4;4,4;0;544434,9;273669,67;10028
K.Bs-03.114;Jaskinia Złomanego Krómpocza;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);56;8,1;8,3;0,2;1;498668,17;198908,17;10128
K.Bż-05.08;KŻ 1 w Okrąlicy;Karpaty;Zawoja (gm. wiejska);Prywatny;2;0;0;0;1;547288,84;195821,29;10133
J.Olk.II-01.27;Schronisko z Piętrami;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);11;6;6;0;0;543816,5;271386,27;10049
